"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-B","551","11979","ELEM ARTIFICIAL INTELLIGENCE","Crandall,David","36","52"," 3.367"," 3.642","17","61.1","33.3","2.8","0.0","17","7","5","10","1","4","7","0","1","0","0","0","0","1","7","5","4","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-B","555","9325","MACHINE LEARNING","Khardon,Roni","49","84"," 2.873"," 3.613","29.1","46.9","26.5","10.2","8.2","39","3","8","12","3","2","8","4","1","0","0","3","1","4","5","29","0","0","0","0","0","0","1","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-B","565","9871","DATA MINING","Raphael,Christopher S.","23","50"," 3.152"," 3.503","17.9","34.8","52.2","13.0","0.0","27","1","4","3","2","8","2","0","1","2","0","0","0","0","3","22","0","0","0","0","0","0","2","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-B","649","14637","TOPICS IN SYSTEMS","Xing,Luyi","20","21"," 3.955"," 3.776","90","100.0","0.0","0.0","0.0","1","5","12","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-B","649","38262","TOPICS IN SYSTEMS","Sharma,Prateek","15","22"," 3.593"," 3.611","73.3","80.0","13.3","6.7","0.0","7","2","2","8","1","1","0","0","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-B","659","14328","TOPICS ARTIFICIAL INTELLIGENCE","Williamson,Donald S.","13","25"," 3.846"," 3.779","21.4","84.6","15.4","0.0","0.0","12","2","9","0","0","2","0","0","0","0","0","0","0","0","0","11","1","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-B","659","37990","TOPICS ARTIFICIAL INTELLIGENCE","Wang,Yijie","14","20"," 3.700"," 3.752","20","78.6","21.4","0.0","0.0","6","1","6","4","0","3","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-B","659","9062","TOPICS ARTIFICIAL INTELLIGENCE","Cavar,Damir","43","62"," 3.814"," 3.671","26.7","88.4","11.6","0.0","0.0","19","1","25","12","3","1","1","0","0","0","0","0","0","0","0","17","1","0","0","0","0","0","1","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","102","12373","GREAT IDEAS IN COMPUTING","Pope,Charles E","19","31"," 3.053"," 3.017","8","52.6","21.1","15.8","0.0","14","6","2","2","1","2","1","2","1","0","0","0","0","2","6","6","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","200","10955","INTRO COMPUTERS & PROGRAMMING","Brown,Geoffrey Morris","89","129"," 2.674"," 2.927","28.3","39.3","27.0","12.4","4.5","55","17","12","6","8","7","9","8","1","2","1","3","0","15","30","9","1","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","200","31617","INTRO COMPUTERS & PROGRAMMING","Dalkilic,Mehmet M.","96","128"," 2.951"," 3.095","20.7","41.7","28.1","22.9","1.0","38","6","24","10","4","17","6","8","9","5","0","1","0","6","25","7","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","211","34566","INTRO TO COMPUTER SCIENCE","Rose,Robert","53","76"," 2.706"," 2.902","26.6","41.5","18.9","26.4","1.9","29","7","9","6","3","1","6","2","7","5","0","1","0","6","11","12","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","211","4332","INTRO TO COMPUTER SCIENCE","Rose,Robert","44","72"," 2.627"," 2.885","13.4","40.9","22.7","13.6","9.1","34","3","11","4","2","5","3","0","3","3","0","4","0","6","23","5","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","211","6983","INTRO TO COMPUTER SCIENCE","Shan,Chung-chieh","35","61"," 2.529"," 2.695","31.5","31.4","28.6","17.1","11.4","30","0","7","4","3","4","3","2","1","3","0","4","0","4","19","7","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","212","7783","INTRO TO SOFTWARE SYSTEMS","German,Dan-Adrian","103","126"," 2.856"," 3.024","53","41.7","26.2","17.5","6.8","31","4","29","10","9","10","8","8","4","6","2","4","1","8","9","9","5","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","231","14266","INTRO: MATH OF CYBERSECURITY","Hafiz,Syed Mahbub","29","37"," 2.572"," 3.096","78.1","34.5","27.6","20.7","3.4","12","6","2","2","1","2","5","1","3","2","0","0","1","4","3","5","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","241","1604","DISCRETE STRUCTURES FOR CSCI","Wennstrom,Erik Michael","70","80"," 2.250"," 3.111","53.9","22.9","25.7","21.4","15.7","20","7","2","7","6","2","10","8","4","3","4","4","3","10","5","4","1","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","241","8796","DISCRETE STRUCTURES FOR CSCI","Wennstrom,Erik Michael","66","76"," 2.279"," 3.046","65.8","16.7","33.3","28.8","9.1","18","1","3","7","7","6","9","5","7","7","1","3","2","8","7","3","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","8W1","Eight Week - First","CSCI","CSCI-C","291","36634","SYSTEM PROG WITH C AND UNIX","Bhutta,Adeel A","20","27"," 2.725"," 3.087","44","30.0","30.0","35.0","0.0","8","1","2","3","1","2","3","2","3","2","0","0","0","1","5","2","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","8W1","Eight Week - First","CSCI","CSCI-C","291","9698","SYSTEM PROG WITH C AND UNIX","Bhutta,Adeel A","37","49"," 3.103"," 3.330","38.6","40.5","37.8","18.9","0.0","13","7","3","5","6","3","5","0","7","0","0","0","0","1","7","5","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","8W2","Eight Week - Second","CSCI","CSCI-C","291","9699","SYSTEM PROG WITH C AND UNIX","Bhutta,Adeel A","35","55"," 2.620"," 2.960","55.8","28.6","25.7","34.3","2.9","23","4","4","2","3","5","1","1","9","2","0","1","0","3","8","12","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","292","36359","INTRO TO GAME PROGRAMMING","Jenne,Mark J","30","36"," 3.583"," 3.267","96.8","63.3","30.0","3.3","3.3","6","5","13","1","5","4","0","1","0","0","0","1","0","0","1","5","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","311","1606","PROGRAMMING LANGUAGES","Friedman,Daniel P","24","30"," 3.513"," 3.231","70","83.3","0.0","8.3","0.0","8","16","3","1","0","0","0","2","0","0","0","0","0","2","6","0","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","322","36268","OBJECT-ORIENTED SOFTWARE MTHDS","German,Dan-Adrian","25","28"," 3.900"," 3.340","76.9","96.0","4.0","0.0","0.0","3","0","19","5","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","323","13075","MOBILE APP DEVELOPMENT","Bhutta,Adeel A","38","43"," 3.100"," 3.162","77.5","60.5","15.8","13.2","5.3","7","11","6","6","0","2","4","0","1","4","0","2","0","2","2","3","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","335","10341","COMPUTER STRUCTURES","Hmeljak,Mitja","30","33"," 3.227"," 3.279","90.3","33.3","50.0","16.7","0.0","3","3","4","3","7","5","3","5","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-C","343","1609","DATA STRUCTURES","Ye,Yuzhen","85","94"," 2.894"," 3.199","63.7","30.6","40.0","21.2","8.2","9","7","10","9","13","7","14","8","2","8","2","3","2","0","6","3","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-H","200","34864","INTRO CMPTRS & PRGRMNG, HONORS","Dalkilic,Mehmet M.","14","15"," 4.000"," 3.795","53.3","100.0","0.0","0.0","0.0","1","0","14","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-H","211","1613","INTRO TO CMPTR SCIENCE-HONORS","Tobin-Hochstadt,Sam","19","21"," 3.700"," 3.697","63.2","68.4","31.6","0.0","0.0","2","7","5","1","2","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-H","343","10108","DATA STRUCTURES, HONORS","Siek,Jeremy","14","16"," 3.557"," 3.677","56.3","64.3","35.7","0.0","0.0","2","0","6","3","2","0","3","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-P","423","11045","COMPILERS","Newton,Ryan Rhodes","11","12"," 3.245"," 3.371","91.7","36.4","54.5","9.1","0.0","1","2","1","1","1","3","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-P","438","5768","INTRO TO COMPUTER NETWORKS","Swany,Martin","27","27"," 2.570"," 3.307","100","25.9","37.0","22.2","0.0","4","1","2","4","4","3","3","3","1","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-P","465","11502","SOFTWARE ENG FOR INFO SYS I","Bhutta,Adeel A","18","21"," 3.661"," 3.288","89.5","77.8","22.2","0.0","0.0","3","0","6","8","1","3","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-P","532","9336","OBJECT-ORIENTED SFTWRE DVLPMNT","Rawlins,Gregory J.e.","25","30"," 3.572"," 3.610","100","56.0","44.0","0.0","0.0","5","1","7","6","8","2","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-P","535","14297","PERVASIVE COMPUTING","Shih,Patrick C","10","14"," 3.850"," 3.747","70","100.0","0.0","0.0","0.0","4","0","5","5","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-P","538","14734","COMPUTER NETWORKS","Swany,Martin","18","20"," 3.539"," 3.659","100","72.2","16.7","5.6","5.6","2","7","4","2","1","2","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-P","556","11533","APPLIED MACHINE LEARNING","Rawlins,Gregory J.e.","53","82"," 3.360"," 3.547","34.5","50.9","43.4","1.9","0.0","31","1","14","12","12","8","3","0","1","0","0","0","0","2","2","27","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-P","565","11513","SOFTWARE ENGINEERING I","Bhutta,Adeel A","27","42"," 3.881"," 3.713","96.4","92.6","7.4","0.0","0.0","15","4","18","3","0","1","1","0","0","0","0","0","0","0","1","14","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-P","573","4562","SCIENTIFIC COMPUTING","Bramley,Randall Barry","7","14"," 4.000"," 3.797","57.1","100.0","0.0","0.0","0.0","7","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-Y","390","1617","UNDERGRADUATE INDPT STUDY","Tobin-Hochstadt,Sam","59","68"," 3.885"," 3.415","94.1","96.6","1.7","0.0","0.0","10","11","40","6","0","1","0","0","0","0","0","0","0","1","3","0","6","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","8W1","Eight Week - First","CSCI","CSCI-Y","395","11225","CAREER DEVELPT FOR CSCI MAJORS","Campbell,Kerri","40","41"," 3.928"," 3.365","92.5","97.5","0.0","2.5","0.0","1","0","36","3","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","8W2","Eight Week - Second","CSCI","CSCI-Y","395","11226","CAREER DEVELPT FOR CSCI MAJORS","Campbell,Kerri","32","34"," 3.672"," 3.173","6.3","84.4","9.4","3.1","0.0","3","0","23","4","0","2","1","0","1","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","8W2","Eight Week - Second","CSCI","CSCI-Y","395","11444","CAREER DEVELPT FOR CSCI MAJORS","Owens,Kaitlyn Mae","37","38"," 3.643"," 3.165","94.7","86.5","5.4","2.7","0.0","3","0","28","4","0","2","0","0","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-Y","790","1621","GRADUATE INDEPENDENT STUDY","Crandall,David","6","19"," 3.833"," 3.721","100","83.3","16.7","0.0","0.0","13","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-Y","790","8615","GRADUATE INDEPENDENT STUDY","Wang,Xiaofeng","6","7"," 4.000"," 3.720","100","100.0","0.0","0.0","0.0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-Y","798","1622","PROFSNL PRACTICUM/INTERNSHP","Crandall,David","16","24"," 4.000"," 3.828","100","100.0","0.0","0.0","0.0","8","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","01-24-2020",
"Fall 2019","4198","1","Regular Academic Session","CSCI","CSCI-Y","799","36485","COMPUTER SCIENCE COLLOQUIUM","Siek,Jeremy","12","16"," 4.000"," 3.823","69.2","100.0","0.0","0.0","0.0","4","0","12","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","01-24-2020",
"Summer 2019","4195","6W1","Six Week - First","CSCI","CSCI-A","110","7707","INTRO TO COMPUTERS & COMPUTING","Pope,Charles E","12","16"," 3.500"," 2.948","8.3","66.7","16.7","16.7","0.0","4","2","5","1","1","0","1","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W2","Six Week - Second","CSCI","CSCI-A","201","7708","INTRODUCTION TO PROGRAMMING I","Malec,Marcin Stanislaw","10","11"," 3.770"," 3.210","10","80.0","20.0","0.0","0.0","1","3","3","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W2","Six Week - Second","CSCI","CSCI-A","290","14821","TOOLS FOR COMPUTING","Jiang,Yucong","9","13"," 3.478"," 3.215","77.8","44.4","55.6","0.0","0.0","4","2","2","0","2","2","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W1","Six Week - First","CSCI","CSCI-A","338","9166","NETWORK TECH & SYSTEMS ADMIN","Whitmer,Jeff","6","6"," 2.500"," 2.860","16.7","0.0","50.0","50.0","0.0","0","0","0","0","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W2","Six Week - Second","CSCI","CSCI-C","102","11795","GREAT IDEAS IN COMPUTING","Pope,Charles E","30","33"," 3.723"," 3.422","0","80.0","13.3","6.7","0.0","3","11","11","2","0","3","1","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W1","Six Week - First","CSCI","CSCI-C","200","14462","INTRO COMPUTERS & PROGRAMMING","Gates,Larry","22","26"," 3.086"," 3.120","25","36.4","40.9","18.2","0.0","5","3","5","0","5","2","2","2","0","2","0","0","0","1","2","2","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W1","Six Week - First","CSCI","CSCI-C","212","9798","INTRO TO SOFTWARE SYSTEMS","German,Dan-Adrian","26","28"," 3.123"," 3.276","61.5","50.0","23.1","11.5","15.4","2","2","6","5","4","2","0","3","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W2","Six Week - Second","CSCI","CSCI-C","241","12318","DISCRETE STRUCTURES FOR CSCI","Blanco Rodriguez,Saul Antonio","19","31"," 2.905"," 3.376","56.5","26.3","42.1","21.1","10.5","12","4","0","1","2","5","1","4","0","0","0","2","0","0","4","8","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W1","Six Week - First","CSCI","CSCI-C","291","11081","SYSTEM PROG WITH C AND UNIX","Bhutta,Adeel A","23","30"," 2.570"," 3.091","34.6","39.1","17.4","26.1","0.0","11","2","6","1","1","2","1","0","4","2","0","0","0","4","3","4","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W1","Six Week - First","CSCI","CSCI-C","343","11929","DATA STRUCTURES","Hmeljak,Mitja","21","33"," 3.076"," 2.973","42.3","42.9","28.6","19.0","9.5","12","2","3","4","4","1","1","2","1","1","2","0","0","0","4","7","0","0","0","0","0","0","1","0","09-06-2019",
"Summer 2019","4195","6W1","Six Week - First","CSCI","CSCI-Y","390","7716","UNDERGRADUATE INDPT STUDY","Tobin-Hochstadt,Sam","6","6"," 4.000"," 3.355","66.7","100.0","0.0","0.0","0.0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","1","Regular Academic Session","CSCI","CSCI-Y","399","7720","PROJ IN PROFESSIONAL PRACTICE","Bhutta,Adeel A","6","7"," 3.950"," 3.285","85.7","100.0","0.0","0.0","0.0","1","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","09-06-2019",
"Summer 2019","4195","6W2","Six Week - Second","CSCI","CSCI-Y","798","10398","PROFSNL PRACTICUM/INTERNSHP","Crandall,David","7","27"," 4.000"," 3.650","100","100.0","0.0","0.0","0.0","20","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","09-06-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-A","110","2059","INTRO TO COMPUTERS & COMPUTING","Pope,Charles E","99","137"," 2.653"," 2.813","0","41.4","23.2","14.1","7.1","52","6","20","15","7","10","6","3","4","7","2","3","2","14","22","16","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-A","110","2060","INTRO TO COMPUTERS & COMPUTING","Pope,Charles E","51","72"," 2.941"," 2.936","1.7","29.4","41.2","23.5","0.0","24","2","9","4","13","4","4","6","5","1","0","0","0","3","8","13","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-A","110","5383","INTRO TO COMPUTERS & COMPUTING","Pope,Charles E","44","50"," 2.970"," 2.945","0","52.3","18.2","13.6","6.8","10","1","15","7","3","3","2","3","3","0","2","1","0","4","4","2","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-A","201","5565","INTRODUCTION TO PROGRAMMING I","Wennstrom,Erik Michael","30","48"," 3.037"," 3.195","7.5","43.3","30.0","13.3","6.7","20","4","7","2","4","5","0","3","1","0","2","0","0","2","10","8","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-A","201","8639","INTRODUCTION TO PROGRAMMING I","Wennstrom,Erik Michael","31","58"," 2.765"," 3.009","0","45.2","22.6","9.7","9.7","31","4","7","3","3","2","2","1","2","0","1","1","1","4","15","11","1","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","8W2","Eight Week - Second","CSCI","CSCI-A","290","6286","TOOLS FOR COMPUTING","Whitmer,Jeff","25","33"," 3.688"," 3.441","48","84.0","8.0","8.0","0.0","8","3","11","7","1","1","0","0","2","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","8W1","Eight Week - First","CSCI","CSCI-A","290","6855","TOOLS FOR COMPUTING","Whitmer,Jeff","27","31"," 2.959"," 3.131","39.3","37.0","40.7","7.4","7.4","6","3","7","0","3","7","1","0","2","0","1","1","0","2","1","3","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","8W1","Eight Week - First","CSCI","CSCI-A","290","7673","TOOLS FOR COMPUTING","Whitmer,Jeff","22","31"," 3.032"," 3.123","70.8","40.9","40.9","4.5","9.1","10","0","6","3","3","6","0","0","0","1","0","2","0","1","2","7","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","8W2","Eight Week - Second","CSCI","CSCI-A","290","7676","TOOLS FOR COMPUTING","Whitmer,Jeff","21","33"," 2.052"," 2.725","65.4","33.3","19.0","9.5","0.0","20","0","4","3","0","2","2","2","0","0","0","0","0","8","5","7","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","8W1","Eight Week - First","CSCI","CSCI-A","290","9209","TOOLS FOR COMPUTING","German,Dan-Adrian","24","26"," 2.992"," 3.241","76","50.0","25.0","12.5","4.2","4","0","4","8","4","1","1","1","2","0","0","1","0","2","1","1","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","8W2","Eight Week - Second","CSCI","CSCI-A","290","9210","TOOLS FOR COMPUTING","German,Dan-Adrian","20","33"," 3.500"," 3.149","64","70.0","20.0","5.0","0.0","14","0","9","5","4","0","0","1","0","0","0","0","0","1","5","8","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-A","321","6654","COMPUTING TOOLS FOR SCI RESRCH","Bramley,Randall Barry","24","34"," 2.917"," 3.136","6.9","37.5","41.7","8.3","0.0","13","0","9","0","0","10","0","0","2","0","0","0","0","3","3","5","2","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-A","338","7800","NETWORK TECH & SYSTEMS ADMIN","Whitmer,Jeff","21","34"," 2.733"," 2.975","3.8","9.5","57.1","33.3","0.0","13","0","1","1","2","7","3","1","5","1","0","0","0","0","5","8","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-A","348","9213","MASTERING THE WORLD WIDE WEB","German,Dan-Adrian","14","22"," 3.271"," 3.007","18.8","64.3","21.4","7.1","0.0","9","1","2","6","2","0","1","1","0","0","0","0","0","1","2","6","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","351","9247","INTRO ARTIFICIAL INTELLIGENCE","Blanco Rodriguez,Saul Antonio","65","90"," 2.940"," 3.200","65.4","40.0","35.4","12.3","4.6","30","3","13","10","8","12","3","2","4","2","2","1","0","5","15","9","1","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","355","4928","AUTONOMOUS ROBOTICS","Beer,Randall D","17","19"," 3.782"," 3.428","83.3","76.5","23.5","0.0","0.0","2","4","8","1","2","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","365","13021","DATA ANALYSIS AND MINING","Liao,Xiaojing","45","67"," 2.473"," 3.067","72.9","33.3","20.0","24.4","11.1","27","6","4","5","2","4","3","4","3","4","1","0","4","5","12","8","1","0","1","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","365","13022","DATA ANALYSIS AND MINING","Raphael,Christopher S.","51","66"," 2.582"," 3.063","75.8","27.5","39.2","19.6","3.9","20","1","6","7","2","3","15","0","9","1","0","2","0","5","11","4","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","401","8767","FUNDAMENTALS OF COMPUTG THEORY","Rose,Robert","56","64"," 2.763"," 3.073","86.4","21.4","44.6","28.6","0.0","11","0","12","0","5","12","8","4","10","2","0","0","0","3","3","5","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","403","9932","INTRO ALGORITHM DES & ANALYS","Ergun,Funda","32","37"," 2.869"," 3.283","78.4","28.1","46.9","18.8","0.0","7","2","5","2","3","6","6","3","1","2","0","0","0","2","5","0","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","433","11750","SECURE PROTOCOLS","Wang,Xiaofeng","16","17"," 3.588"," 3.326","82.4","62.5","37.5","0.0","0.0","1","1","4","5","3","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","443","7679","INTRO TO COMPUTER ARCHITECTURE","Malbasa,Vel","17","18"," 3.094"," 3.152","100","29.4","47.1","23.5","0.0","1","1","3","1","3","3","2","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","455","10658","PRINCIPLES OF MACHINE LEARNING","Tang,Haixu","63","79"," 3.265"," 3.208","83.1","42.9","49.2","1.6","4.8","17","9","9","9","13","12","6","1","0","0","1","1","1","1","8","8","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","456","11795","IMAGE PROCESSING","Bhutta,Adeel A","12","16"," 2.892"," 3.238","87.5","41.7","25.0","25.0","0.0","5","0","4","1","2","0","1","0","2","1","0","0","0","1","4","0","0","0","0","0","0","0","0","0","06-07-2019",
"Spring 2019","4192","1","Regular Academic Session","CSCI","CSCI-B","505","11752","APPLIED ALGORITHMS","Tang,Haixu","42","54"," 3.657"," 3.667","37.2","81.0","14.3","2.4","0.0","13","12","10","12","4","2","0","0","1","0","0","0","0","1","0","11","0","0","0","0","0","0","1","0","06-07-2019",
